"ID","title","description","date","creator","ts_key","collection","timestamp","relation","subject","reference"
1,"Little Rose Bowl","Plays only footage of Boise Junior College vs Long Beach City College in the Junior Rose Bowl in Pasadena California. BJC lost to LBCC 13 to 33. This 16 mm film was donated to Boise State University Albertsons Library Special Collections and Archives by the family of Roy Mosman.","1950","Boise Junior College football","EfJh","Athletics",12/1/2017 10:37:13,"Football","sports","RG 30.7, 501209"
2,"Campus Scenes","Silent film clip of Boise Junior College from two locations, near the center of campus, sometime after 1948 before 1955.","1948-1955","Boise Junior College","IlJY","Archives Media",12/18/2017 14:20:00,"Communications and Marketing","campus","RG 8, Box 19, 3510"
3,"Lyle Smith: End of an Era","Dick Eardley of KBOI-TV News reports on the retirement of Boise Junior College football head coach Lyle Smith. Eardley narrates a summary of Smith's accomplishments.","1967","KBOI-TV","HXtk","Athletics",12/1/2017 10:39:07,"Football","coaching","RG 31, Box 1, 3280"
4,"Theatre in a Trunk","Idaho Shakespeare Festival Theatre in a Trunk promotion for ""Prime of Jean Brodie.""","1976","Doug Copsey","pRdT","Idaho Shakespeare Festival",12/20/2017 12:41:52,"Idaho Shakespeare Festival","performing arts","MSS 229, 1978 video"
5,"Idaho Power Spot","Television commercial for Idaho Power Company","1978","Doug Copsey","xoEQ","Idaho Shakespeare Festival",12/20/2017 12:42:03,"Idaho","power industry","MSS 229, 1978 video"
6,"TV Spots","Television commercials for Idaho Shakespeare Festival, Idaho Power Company, and Falls Brand Meats.","1978","Doug Copsey","PXYe","Idaho Shakespeare Festival",12/20/2017 12:42:08,"Idaho","performing arts","MSS 229, 1978 video"
7,"BSU Challenge of the 80s","Special feature on Boise State University, along with local commercials from the YWCA, Boise Chamber of Commerce (Boise is Brighter campaign), KIVI, and Crime Stoppers. Some highlights of Boise State include a brief overview of the history of the school, community engagement, athletics, an overview of the first shows at the Pavilion (Taco Bell Arena). This version of the feature ends prematurely.","1982","Boise State University","SwYM","Archives Media",12/18/2017 14:20:08,"Communications and Marketing","planning","RG 8, Box 10, 3573"
8,"KBCI Story on 50th Anniversary of Boise State","News story about the Governor's appreciation ceremony held by Boise State University in honor of the five living governors. This event kicked off a year-long celebration of the 50th anniversary of Boise State University.","1982","KBCI","ndY9","Archives Media",12/18/2017 14:20:12,"Communications and Marketing","planning","RG 8, Box 10, 2593"
9,"Boise, Idaho's Gateway City","Promotional narrated slideshow of Boise, Idaho as well as some areas in Idaho which are within easy travel range of Boise.","1984","Educational Media Services; Boise State University; Boise Convention and Visitors Bureau; Rikers Film Production Inc.","WTNn","Special Collections",12/5/2017 14:00:12,"Library","tourism; recreation","	Spec. Coll. F754.B65 B645 1984"
10,"Library Tour","Librarian Ralph Hansen gives a tour to three Boise State students around the library.","1986-1987","Library; University Television Productions","JlJX","Archives Media",12/1/2017 10:44:03,"Library","research","RG 8, Box 1, 8695"
11,"Computer Tech Works","Introduction clip of a technology education video about personal computers","1987","Southern California Consortium","0HWX","University Television Productions",12/18/2017 14:49:27,"Educational Technology","computers","RG 58, Box 04, UTP19870000M"
12,"Retold in the Hills","A history of the making & recovery of Told in the hills : the first Hollywood feature film made in Idaho","1990","Tom Trusky; University Television Productions","LixO","University Television Productions",12/1/2017 11:07:33,"English","performing arts","RG 58, Box 15, UTP189890900A-B"
